file_name	labelled_bbox
8cf56956-purchase_orders_10248-page-00001.jpg	[(['Order ID'], (118, 589, 587, 707), 3508, 2481), (['Order Date'], (592, 589, 1179, 704), 3508, 2481), (['Customer Name'], (1180, 589, 1885, 707), 3508, 2481)]
55ccaed1-purchase_orders_10249-page-00001.jpg	[(['Order ID'], (119, 591, 584, 704), 3508, 2481), (['Order Date'], (593, 591, 1180, 706), 3508, 2481), (['Customer Name'], (1182, 591, 1889, 706), 3508, 2481)]
1d0ad18e-purchase_orders_10250-page-00001.jpg	[(['Order ID'], (119, 589, 587, 707), 3508, 2481), (['Order Date'], (593, 591, 1176, 707), 3508, 2481), (['Customer Name'], (1183, 589, 1888, 707), 3508, 2481)]
11b9b0db-purchase_orders_10251-page-00001.jpg	[(['Order ID'], (120, 593, 586, 705), 3508, 2481), (['Order Date'], (592, 593, 1181, 707), 3508, 2481), (['Customer Name'], (1183, 591, 1888, 707), 3508, 2481)]
4f4f93e8-purchase_orders_10252-page-00001.jpg	[(['Order ID'], (120, 591, 586, 705), 3508, 2481), (['Order Date'], (591, 591, 1178, 707), 3508, 2481), (['Customer Name'], (1182, 591, 1885, 705), 3508, 2481)]
a0248b14-purchase_orders_10253-page-00001.jpg	[(['Order ID'], (118, 592, 586, 704), 3508, 2481), (['Order Date'], (591, 592, 1178, 704), 3508, 2481), (['Customer Name'], (1180, 592, 1887, 704), 3508, 2481)]
2d5554f5-purchase_orders_10254-page-00001.jpg	[(['Order ID'], (120, 590, 586, 704), 3508, 2481), (['Order Date'], (594, 592, 1175, 704), 3508, 2481), (['Customer Name'], (1183, 590, 1886, 704), 3508, 2481)]
18d70a15-purchase_orders_10255-page-00001.jpg	[(['Order ID'], (120, 591, 584, 703), 3508, 2481), (['Order Date'], (590, 589, 1179, 709), 3508, 2481), (['Customer Name'], (1183, 589, 1885, 705), 3508, 2481)]
cd06d994-purchase_orders_10256-page-00001.jpg	[(['Order ID'], (118, 589, 588, 705), 3508, 2481), (['Order Date'], (591, 591, 1180, 705), 3508, 2481), (['Customer Name'], (1182, 589, 1885, 703), 3508, 2481)]
0fb4ed1c-purchase_orders_10257-page-00001.jpg	[(['Order ID'], (119, 588, 589, 706), 3508, 2481), (['Order Date'], (593, 588, 1178, 706), 3508, 2481), (['Customer Name'], (1179, 588, 1888, 706), 3508, 2481)]
